fbref ID,FPL ID,FT ID
2628fd2b,1,88472
8fa8f8d2,2,185033
8b9ebd03,3,23302
d5dd5f1f,4,77663
839c14e1,5,138601
9dbb75ca,6,45079
e61b8aee,7,23337
aa54ec6f,8,160699
f874dd44,9,23332
dc6f5bdd,10,176667
3935e52e,11,234958
47a34c4f,12,183359
e3a5814e,13,32246
d79a8c87,14,24075
529f49ab,15,187806
fce2302c,16,139989
57e3f0c7,17,138306
52611641,18,242866
a3b03921,19,84632
a53649b7,20,76982
17695062,21,197966
bc7dc64d,22,106430
67ac5bb8,23,181081
00963611,24,
5ea8ef20,25,
48a5a5d6,26,140008
972aeb2a,27,
a8a3d139,28,131328
fcab00a0,29,242867
7956236f,30,131313
4fdf1fd9,31,
c47541e0,32,184648
b0b4fd3e,33,131338
6e7f1353,34,202398
90f91999,35,131333
bf8fad51,36,132423
3ae14ed1,37,137600
8397a50c,38,131314
e514ab62,39,92386
aed3a70f,40,183114
de5b5570,41,138600
ffa90327,42,131369
66b76d44,43,192735
2389cdc2,44,181873
0313a347,45,134708
5d8d7454,46,230253
bfae110f,47,132427
dae8623e,48,
9deaf2c8,49,131340
6f7d826d,50,137792
1544f145,51,186002
be927d03,52,225290
99813635,53,23127
28300a16,54,197282
8aec0537,55,45084
7314bba4,56,230254
fdd85f94,57,
b2d31e83,58,92423
282f75f3,59,45008
bb5fbd2b,60,45018
c40b6180,61,139208
dad4b285,62,177020
4bcf39f6,63,139797
38ceb24a,64,132424
4535e4bb,65,
08452314,66,
35e413f1,67,176641
17370b95,68,
6a713852,69,192988
6c203af0,70,90433
f4e433d4,71,156990
27c01749,72,144449
ad1f61f3,73,147612
83d074ff,74,163914
f230bc30,75,206669
172e52d8,76,192193
df0a4c90,77,192201
e09f279b,78,192217
3dcef539,79,192199
98ea5115,80,192208
1137759d,81,192212
60344e4f,82,192202
8a3c1dc7,83,192195
8449d35e,84,192211
f7b1d4e0,85,192216
0f134faf,86,192210
7aee4dd3,87,192209
82c215a0,88,192218
57c94db2,89,192204
30db8574,90,192205
e541326e,91,192197
e827567f,92,225291
395880a4,93,202552
4d39152d,94,225292
9d8cf204,95,225293
6afaebf2,96,192214
407db0d5,97,223579
15ea812b,98,23287
1ae30132,99,23252
1ef37668,100,134588
74e12f1e,101,23464
653ee42d,102,45021
5a4280b1,103,23289
4ab53cdb,104,134602
2691c772,105,23290
8df7a2fb,106,23379
495945ef,107,35693
f72293fc,108,24079
4e9a0555,109,57345
9a9c05db,110,23376
0d4ceb32,111,92351
4b40d9ca,112,24087
cc2d7ad5,113,45068
c73ada83,114,221679
47369df8,115,161009
bf3aeb61,116,
4879f8cb,117,
fc15fb84,118,96761
53cad200,119,23393
16ceb862,120,
86e7deaf,121,180322
f4290206,122,28849
45db685d,123,88639
3a24769f,124,23058
79c0821a,125,92389
2973d8ff,126,110931
18b896d6,127,45074
ce4246f5,128,23000
28d596a0,129,92390
b9fbae28,130,23102
6622454d,131,176631
e97fd090,132,23394
1cb49278,133,45111
49fe9070,134,176630
d2424d1b,135,24083
f586779e,136,131319
1bf33a9a,137,132434
9674002f,138,139802
10b9fa99,139,183040
15f3ec41,140,69539
fed7cb61,141,182529
1265a93a,142,148332
33887998,143,185291
c2731c10,144,184630
df10e27c,145,144450
ab13a5aa,146,88473
e7ca0439,147,23015
cee31595,148,23028
ab070c55,149,23118
8d3c902d,150,23544
d7492450,151,23037
2ce2508a,152,35690
da052c14,153,35701
b2bc3b1f,154,23023
3312f911,155,23103
cc70a1d5,156,189710
7a1f2c08,157,45097
99246027,158,230255
50e6dc35,159,201968
ae4fc6a4,160,180321
2f8d27bc,161,178020
5cbd1eb0,162,174861
111c3236,163,23162
76dd1480,164,23463
0420d84f,165,23059
715bf047,166,183044
ab4b3e35,167,
1b84dbe1,168,91483
c5b7c315,169,23378
4806ec67,170,23433
cc700722,171,182530
1961b2aa,172,92420
02b29014,173,23492
6ca5ec4b,174,23326
6d5701f2,175,92422
9228b07c,176,34400
59e6e5bf,177,40266
d0042ab9,178,131320
9f7c837d,179,131352
fa031b34,180,45474
728e9b2e,181,176633
c0398aca,182,
58bc7d18,183,
dc64b8b3,184,176637
420d7c7d,185,176652
282679b4,186,176655
1fb1c435,187,179153
67ca8566,188,176640
93feac6e,189,176665
bba30585,190,185165
4f565d77,191,176648
f13d02a6,192,176661
6c17e046,193,176664
ea6bc03a,194,180456
55b4f1d6,195,176666
3423f250,196,187805
8d03ca5a,197,176654
f4d296e4,198,176643
6b625ac2,199,176642
53af52f3,200,23397
f8fcd2a5,201,23521
b827d5b3,202,23099
1598599e,203,94552
d3ce0e89,204,90843
45963054,205,23097
86695068,206,140007
75a72a99,207,88564
1a4ef233,208,23101
197640fd,209,182119
56f7a928,210,110910
819aa8e7,211,45069
ee38d9c5,212,88492
c92e1a31,213,23170
7d2d3329,214,68289
3ea50f67,215,45039
6b47c5db,216,33589
21166ff4,217,92428
fb614c44,218,137292
fc027d02,219,175378
132a82f1,220,186823
2f90f6b8,221,23117
935e6b8f,222,23121
f76e6b4e,223,23273
b217ef29,224,23135
77e84962,225,184638
6421ec64,226,23415
38c7feef,227,23325
4c370d81,228,23119
e06683ca,229,23238
c691bfe2,230,23126
7a2e46a8,231,90826
7f3b388c,232,88550
e342ad68,233,45106
2e4f5f03,234,45120
43a166b4,235,102349
f833a830,236,157062
cd1acf9d,237,28906
7a11550b,238,23120
f25c8e3a,239,88518
178ae8f8,240,88567
515ebe8d,241,192967
62d7ef38,242,140028
5ed9b537,243,225319
4fb9c88f,244,154682
f315ca93,245,178132
dd323728,246,156926
012c975a,247,192955
c9009a1f,248,203019
86dd77d1,249,23260
819b3158,250,23160
e46012d4,251,23161
5eecec3d,252,23044
5271c8f1,253,45043
892d5bb1,254,23109
b400bde0,255,23153
bd6351cd,256,139835
3bb7b8b4,257,45113
eaeca114,258,23346
119b9a8e,259,77347
42130443,260,193308
3eb22ec9,261,45081
31c69ef1,262,186737
b66315ae,263,32986
51cf8561,264,23148
ed1e53f3,265,55898
6434f10d,266,132974
aa849a12,267,176658
9e1035f8,268,177441
527f063d,269,187803
7ba6d84e,270,23173
eb7822d7,271,23008
867239d3,272,24380
d8931174,273,23076
b853e0ad,274,88532
9c94165b,275,23188
810e3c74,276,23192
507c7bdf,277,160701
8b788c01,278,23178
e73c9bb2,279,187802
e5a76dfe,280,137863
a1d5bd30,281,23194
50dc94ce,282,181309
2baec6ce,283,131317
f5deef4c,284,45053
d93c2511,285,40951
a1232f4e,286,23171
c931d9f9,287,132426
9e525177,288,32948
58eee997,289,115171
5e74d6c8,290,150363
3727dd3c,291,45042
71ef519e,292,45117
2b91cf8e,293,45099
cde3309f,294,45019
3a949a25,295,77662
c596fcb0,296,23360
989d5705,297,179115
d56543a0,298,183010
450ab6fc,299,45072
e58a03c6,300,131312
3fe6bd8c,301,45114
758dd7f0,302,25865
77cf6852,303,139838
de112b84,304,185623
c8aa95da,305,91161
c951a6df,306,45098
2b16cb1a,307,139204
862a1c15,308,110898
a2b105e0,309,95817
c17bfb65,310,137599
efb9215a,311,131350
c0027d2d,312,149083
51a19d04,313,192713
f23f9d20,314,192741
0745b37d,315,192758
b606638c,316,
3faa1780,317,192736
471f16b3,318,192747
e9254eec,319,192743
007b39a5,320,192751
1bf811d4,321,192718
a36d4785,322,192739
2f6ec02a,323,192730
2d5f03bf,324,192734
f63d8a4b,325,192728
774cf58b,326,192745
953c30b0,327,192749
3c33f9d9,328,192753
291e3ec3,329,192765
3f072a68,330,
c393a6c4,331,192723
1ecb65be,332,23324
c3e39f12,333,178022
36c2ca73,334,23024
4b511457,335,23236
ab651565,336,23226
07802f7f,337,23134
6adbc307,338,23242
97333cf5,339,88507
1900032e,340,88625
3515d404,341,23404
984a5a64,342,46637
4115ce4e,343,45003
30040f5d,344,
f2bf1b0f,345,132437
f1e94cd6,346,184926
5e105217,347,162785
caa1a7f0,348,77174
11ff3d56,349,187324
254147d4,350,132429
0b33f6ad,351,178201
cb4f24c6,352,
8f62b6ee,353,23259
2acd49b9,354,28842
f7d50789,355,
abe66106,356,
21a66f6a,357,23474
5c2b4f07,358,58927
92e7e919,359,23472
d557d734,360,88464
ac861941,361,23479
2b622f01,362,77665
cea4ee8f,363,23482
44781702,364,23490
8b04d6c1,365,24092
2f7acede,366,25871
da7b447d,367,56987
6aa3e78b,368,225296
a29b1131,369,160697
3353737a,370,184661
e9971f2d,371,157546
d7553721,372,139997
6250083a,373,192744
8d62d31a,374,189708
5cdddffa,375,132450
d0b3ceb9,376,23517
89d10e53,377,225302
7fec31a0,378,23353
89e4b358,379,23503
82e34b69,380,23498
6cdd8245,381,23053
e5d01ecf,382,45060
c24dba2a,383,23380
914ab9a1,384,23265
422862ea,385,23296
a0666d3e,386,45036
7ed4921e,387,225300
269b4638,388,225303
1c0eea98,389,225305
de0f152c,390,88479
1770bd68,391,225311
a5ea254c,392,
f573a8bf,393,92387
0666f848,394,225307
eeb6551f,395,225304
0f933743,396,225299
41fb0f4e,397,32938
c2846353,398,225297
bfdb33aa,399,139971
3631ad41,400,225298
2876eaa3,401,
fdf9edec,402,
e1df6989,403,225310
e8832875,404,164449
f240e4f2,405,225306
ff527768,406,23276
6385ebfb,407,158282
9328b835,408,23448
74b2cd7e,409,23278
562eed5c,410,203187
4f974391,411,23543
849c826a,412,88575
ac05f970,413,23550
3e9e06cb,414,132438
c067631c,415,88450
26f6dca8,416,23539
57df7a11,417,24382
fdf3cb77,418,186817
5a04fd92,419,189709
79c84d1c,420,161049
1c7012b8,421,32973
6613c819,422,160700
82927de4,423,132425
a712ca2b,424,88449
9319781b,425,67736
f5a00fa4,426,91130
79b0d6a0,427,
a4ac4b8f,428,88556
2928dca2,429,88496
b561db50,430,88528
9fbbcf39,431,88539
9ae9eaea,432,182753
e28868f3,433,91162
5a7301ae,434,92413
9a28eba4,435,92375
44bfb6c5,436,88466
d04b94db,437,185167
7fcc71d8,438,160975
d0f72bf1,439,106466
32f60ed8,440,88531
7ba2eaa9,441,139207
6956ff08,442,196831
9a71e978,443,184652
43f9b4ba,444,225313
e7aa9d7c,445,182752
1e159d70,446,225312
ce5143da,447,23331
e082af5b,448,225320
6c6a3300,449,225295
2c44a35d,450,225321
a8c19eb8,451,234803
da8b19e2,452,88503
101da2b5,453,23310
6681bcc8,454,225322
ca45605e,455,225294
bcfb0142,456,192733
112c495e,457,225479
ae59b359,458,226789
29733c72,459,23177
6dfd8f05,460,226790
77e39b04,461,226791
1d5cab82,462,226985
24f59bb2,463,226984
c4486bac,464,230249
f25b010f,465,23466
a65c844b,466,230250
b579e83d,467,230251
43458538,468,23364
b7996fe0,469,
9b398aea,470,187323
f5044e54,471,230256
71b47ab9,472,230257
01226327,473,23241
8a7ff278,474,23018
903b6e8b,475,231959
f0e4c69e,476,231960
d0706b27,477,231961
1b4f1169,478,233400
2944f86f,479,233401
76eca7e2,480,233402
7b4de647,481,233403
b28bbd58,482,23016
a8c0acb7,483,234799
4468ec10,484,234800
dbf053da,485,228177
f0f7f62f,486,234801
7b5ab7f2,487,234779
e34fc66d,488,187804
2f965a72,489,183126
3f70db80,490,236836
afed6722,491,237976
3a233281,492,240547
9f8e9423,555,241033
5eae500a,529,240869
a3d94a58,494,241952
235a62f8,498,242877
82b13dde,,
03904ca0,,
c1949191,544,242875
099e666f,502,242874
f5b281e7,570,192872
6bd603db,504,139205
2bd83368,503,242870
3d50bcdb,564,234802
8f817fc7,,
531a4aa8,546,242872
9f472354,519,242871
a4fe8cda,523,242873
c8387671,506,241953
b35a7399,,
0442183b,493,189201
5aaef9ef,495,242864
a8d4428b,516,242865
68c720b5,525,242879
97220da2,518,242869
e1618c22,496,
19f4d211,497,242868
2886c9b5,499,192215
dc008610,500,242876
4315f30d,501,262617
5c74c0f5,505,242878
dc7f8a28,507,242906
007414dd,508,242907
a6de6361,509,176811
d9565625,510,242908
6639e500,511,242909
2fba6108,512,219749
19e50035,513,236835
e32958b7,514,190419
2d760d7b,515,192756
68dc0dac,517,242910
21945a9e,520,203938
95827107,521,242912
a5ca9127,522,242913
18c70acb,526,221680
2500cef9,524,242911
e0bc6fdc,539,77358
16264a81,538,203010
def899bd,632,274845
4d0eb7d2,,198780
5515376c,527,242981
9f333379,528,242984
31822f8c,530,245770
c5bdb6e3,531,77164
aa81d8f8,532,249316
4fa62ae4,533,
6a471ee8,534,
d01231f0,535,186816
1b280c66,536,249317
e0243d23,537,255575
974b8e7f,540,
45685411,541,246493
b4390912,542,
d01f8942,543,
43309491,545,
cc3b8e78,547,280714
6f711f67,548,
a7cf1541,549,
f3354c07,550,249318
df04eb4b,551,259750
9f1938ab,552,176657
8aadeaef,553,
41d3704d,554,
4fd08daa,,
6cc47ae1,595,259278
01962d0d,577,259613
