Name,Pos,Price,Team,xMins,Total,Adjusted
Alisson,GK,£6.0,LIV,87.4,156.9,157.9
Ederson,GK,£6.0,MCI,87.8,155.6,156.2
Mendy,GK,£6.0,CHE,83.2,152.1,156.1
Martínez,GK,£5.5,AVL,87.8,153.9,154.6
Sánchez,GK,£4.5,BHA,87.8,146.1,146.7
Pope,GK,£5.5,BUR,84.1,140.6,144.6
Lloris,GK,£5.5,TOT,87.8,143.7,144.4
Meslier,GK,£5.0,LEE,87.8,143.4,144.0
Leno,GK,£5.0,ARS,87.8,142.2,142.8
Sá,GK,£5.0,WOL,85.2,133.5,136.5
Pickford,GK,£5.0,EVE,87.8,129.6,130.3
Schmeichel,GK,£5.0,LEI,87.8,125.8,126.5
Henderson,GK,£5.0,MUN,59.8,101.8,125.8
Guaita,GK,£4.5,CRY,86.3,123.2,125.2
Areola,GK,£5.0,WHU,70.7,110.3,124.3
McCarthy,GK,£4.5,SOU,65.9,101.5,120.5
Raya,GK,£4.5,BRE,87.8,116.7,117.3
Darlow,GK,£4.5,NEW,56.1,81.3,109.3
Krul,GK,£4.5,NOR,78.8,97.1,105.1
de Gea,GK,£5.0,MUN,30.1,46.9,96.9
Bachmann,GK,£4.5,WAT,75.1,82.8,94.8
Dubravka,GK,£4.5,NEW,33.7,48.2,92.2
Forster,GK,£4.5,SOU,24.3,31.1,86.1
Fabianski,GK,£5.0,WHU,19.2,27.4,85.4
Arrizabalaga,GK,£5.0,CHE,6.6,11.1,81.1
Foster,GK,£4.0,WAT,9.3,10.7,78.7
Gunn,GK,£4.0,NOR,11.2,11.9,77.9
Hennessey,GK,£4.5,BUR,5.3,6.6,77.6
Kelleher,GK,£4.5,LIV,2.1,3.4,77.4
Butland,GK,£4.5,CRY,3.3,4.3,77.3
Steffen,GK,£4.5,MCI,1.8,3.3,77.3
Gollini,GK,£4.5,TOT,1.7,2.5,76.7
Rúnarsson,GK,£4.0,ARS,1.8,2.6,76.6
Ruddy,GK,£4.5,WOL,1.8,2.6,76.6
Söndergaard,GK,£4.0,WOL,1.8,2.6,76.6
Klaesson,GK,£4.5,LEE,1.8,2.5,76.5
Ward,GK,£4.0,LEI,1.8,2.5,76.5
Scherpen,GK,£4.5,BHA,0.9,1.5,76.5
Steer,GK,£4.0,AVL,1.8,2.5,76.5
Steele,GK,£4.0,BHA,0.9,1.4,76.4
Virgínia,GK,£4.0,EVE,0.9,1.2,76.2
Begovi?,GK,£4.0,EVE,0.9,1.2,76.2
Randolph,GK,£4.5,WHU,0.2,0.3,76.1
Norris,GK,£4.5,BUR,0.2,0.2,76.0
Gunnarsson,GK,£4.0,BRE,0.2,0.2,76.0
Adrián,GK,£4.5,LIV,0.0,0.0,76.0
Balcombe,GK,£4.0,BRE,0.0,0.0,76.0
Hart,GK,£4.5,TOT,0.0,0.0,76.0
Ryan,GK,£4.5,BHA,0.0,0.0,76.0
Peacock-Farrell,GK,£4.5,BUR,0.0,0.0,76.0
Casilla,GK,£4.5,LEE,0.0,0.0,76.0
Patrício,GK,£5.0,WOL,0.0,0.0,76.0
McGovern,GK,£4.0,NOR,0.2,0.2,76.0
Alexander-Arnold,DEF,£7.5,LIV,79.8,183.2,187.2
Robertson,DEF,£7.0,LIV,78.5,156.8,162.8
Dias,DEF,£6.0,MCI,78.5,155.7,161.7
Chilwell,DEF,£6.0,CHE,75.5,149.9,157.9
van Dijk,DEF,£6.5,LIV,80.6,149.4,153.4
Dunk,DEF,£5.0,BHA,82.1,143.3,148.3
Rüdiger,DEF,£5.5,CHE,74.2,137.0,147.0
Shaw,DEF,£5.5,MUN,69.0,128.8,140.8
Azpilicueta,DEF,£6.0,CHE,64.9,124.7,140.7
Stones,DEF,£5.5,MCI,60.8,120.4,140.4
Wan-Bissaka,DEF,£5.5,MUN,81.0,133.7,139.7
Digne,DEF,£5.5,EVE,83.7,136.9,138.9
Maguire,DEF,£5.5,MUN,84.3,131.9,134.9
Cancelo,DEF,£6.0,MCI,46.9,104.5,132.5
Walker,DEF,£5.5,MCI,62.1,115.9,131.9
Semedo,DEF,£5.0,WOL,76.4,123.5,131.5
James,DEF,£5.5,CHE,60.2,123.2,131.2
Veltman,DEF,£4.5,BHA,82.3,129.2,130.8
Cresswell,DEF,£5.5,WHU,80.6,125.2,129.2
Varane,DEF,£5.5,MUN,71.3,116.4,128.4
Reguilón,DEF,£5.0,TOT,79.1,124.1,127.1
Webster,DEF,£4.5,BHA,82.1,121.2,126.2
Coufal,DEF,£5.0,WHU,82.6,120.7,123.7
Thiago Silva,DEF,£5.5,CHE,57.5,98.7,120.7
Evans,DEF,£5.5,LEI,76.4,112.3,120.3
Boly,DEF,£5.0,WOL,77.2,111.4,119.4
Walker-Peters,DEF,£5.0,SOU,82.8,116.8,118.8
Holding,DEF,£4.5,ARS,77.2,114.6,118.6
Ritchie,DEF,£5.0,NEW,69.0,106.5,118.5
Konsa,DEF,£5.0,AVL,85.4,116.4,118.4
Castagne,DEF,£5.5,LEI,60.1,90.2,118.2
Tarkowski,DEF,£5.0,BUR,85.4,116.2,118.2
Zinchenko,DEF,£5.5,MCI,48.1,89.9,117.9
Tierney,DEF,£5.0,ARS,77.5,115.4,117.4
Perraud,DEF,£5.0,SOU,72.6,106.0,116.0
Söyüncü,DEF,£5.0,LEI,81.0,113.2,115.2
Mings,DEF,£5.0,AVL,85.9,112.4,114.0
Dawson,DEF,£5.0,WHU,75.5,105.0,113.0
Ogbonna,DEF,£5.0,WHU,84.5,110.8,112.8
Keane,DEF,£5.0,EVE,74.7,104.8,112.8
Vestergaard,DEF,£5.0,SOU,76.8,106.7,112.7
Aurier,DEF,£5.0,TOT,55.1,87.7,112.7
Cash,DEF,£5.0,AVL,81.0,110.0,112.0
Targett,DEF,£5.0,AVL,73.6,99.8,111.8
Coady,DEF,£4.5,WOL,77.2,103.6,111.6
White,DEF,£4.5,ARS,77.2,107.1,111.1
Bednarek,DEF,£4.5,SOU,77.7,104.9,110.9
Ait Nouri,DEF,£4.5,WOL,69.9,102.8,110.8
Ayling,DEF,£4.5,LEE,85.9,108.7,110.3
Burn,DEF,£4.5,BHA,59.5,90.1,110.1
Mee,DEF,£5.0,BUR,86.5,108.5,109.5
