fbref ID,FPL code,FPL ID,FT ID
6412cc03,438098,4,1681493
67ac5bb8,226597,5,181081
fed7cb61,219847,6,182529
b66315ae,205651,8,32986
45db685d,85955,9,88639
dc3e663e,440854,10,2893237
48a5a5d6,444145,12,140008
a53649b7,205533,13,76982
79300479,184029,14,201990
529f49ab,167199,15,187806
466fb2c5,225321,17,140080
bc7dc64d,223340,19,106430
972aeb2a,462424,20,1677493
1b4f1169,437742,21,233400
17695062,209289,22,197966
a65c844b,437626,23,230250
b3af9be1,223723,25,257276
38ceb24a,116216,26,132424
cddf767b,201410,27,3556525
4a51ba65,224068,28,1677492
35e413f1,198869,29,176641
51cf8561,206325,31,23148
16e9d0ea,106468,32,2853884
05e8ca6d,433979,33,1783649
3a233281,215711,34,240547
66b76d44,195546,35,192735
2389cdc2,199796,36,181873
dc6f5bdd,101184,37,176667
0ef89a37,84583,38,278661
5a7301ae,151589,40,92413
b4a014b1,165659,41,1677494
1b84dbe1,101188,42,91483
6f7d826d,230046,43,137792
414184f7,476344,44,2882401
cc77354e,226944,47,1697059
0313a347,199798,48,134708
7956236f,98980,49,131313
90f91999,122806,50,131333
8397a50c,149484,51,131314
de5b5570,184704,52,138600
e7ee38c3,111782,53,187807
1544f145,232653,55,186002
56f7a928,166989,58,110910
aed3a70f,178301,60,183114
e4238fb1,444180,62,230755
d328a254,168991,63,230745
dc4cae05,111317,64,230752
26ce2263,158499,65,258290
2afc7272,155408,66,230747
c067631c,81012,68,88450
f31def1e,235530,70,230736
4c3a6744,222683,72,3584408
fed96827,223911,75,230738
01ce9e70,128340,76,230801
a9dc785c,69752,77,2019410
2f9e4435,533463,78,2882402
10a10454,156685,81,1727419
efd2ec23,437730,82,2930166
35141f4c,221466,83,2018115
20b104bc,54469,84,230742
e77dc3b2,154566,85,230753
5c0da4a4,201658,86,1954998
570bb4b9,424044,87,2930176
fe558029,229600,88,230737
88968486,477580,89,2930173
a8c0acb7,191866,90,234799
2886c9b5,432160,92,192215
a8c19eb8,432830,96,234803
215f3907,440089,98,2064482
60344e4f,183656,99,192202
a92ab7be,118342,101,3556534
8a3c1dc7,194010,103,192195
1780bb4a,472713,104,1803646
8449d35e,204580,105,192211
0f134faf,207283,106,192210
41f08ac8,249231,107,1814996
6afaebf2,446008,108,192214
8df7a2fb,51927,109,23379
df0a4c90,128295,110,192201
2944f86f,428580,111,233401
e541326e,231065,112,192197
98ea5115,154561,113,192208
57c94db2,226956,114,192204
52afb588,513418,115,2833740
