Name,FFS 17,FFS 18,FFS 19,FFS 20,FFS 21,FFS 22,FFS 23,fbref,fbref ID,FPL code,FPL ID,FPL name,FPL pos,Team,FPL price,FT ID,FanTeam name,FT pos,FT price,DOB
Ramsdale,,,Ramsdale,Ramsdale,Ramsdale,Ramsdale,Ramsdale,Aaron Ramsdale,466fb2c5,225321,17,Ramsdale,GK,Arsenal,5,140080,Ramsdale,GK,5.5,35929
Raya,,,,,Raya Martin,Raya Martin,Raya Martin,David Raya,98ea5115,154561,113,Raya,GK,Arsenal,4.9,192208,Raya,GK,5,34957
White,,,,White (Ben),White (Ben),White (Ben),White (Ben),Ben White,35e413f1,198869,29,White,DEF,Arsenal,5.5,176641,White,DEF,6,35711
Gabriel,,,,Gabriel Magalh„es,Gabriel Magalh„es,Gabriel Magalh„es,Gabriel Magalh„es,Gabriel Dos Santos,67ac5bb8,226597,5,Gabriel,DEF,Arsenal,4.8,181081,Gabriel,DEF,6,35783
Saliba,,,,,,Saliba,Saliba,William Saliba,972aeb2a,462424,20,Saliba,DEF,Arsenal,5.2,1677493,Saliba,DEF,5.5,36974
Zinchenko,Zinchenko,Zinchenko,Zinchenko,Zinchenko,Zinchenko,Zinchenko,Zinchenko,Oleksandr Zinchenko,51cf8561,206325,31,Zinchenko,DEF,Arsenal,4.9,23148,Zinchenko,DEF,5.5,35414
Timber,,,,,,,JurriÎn Timber,JurriÎn Timber,41034650,445122,585,J.Timber,DEF,Arsenal,4.8,3627958,Timber,DEF,5,37059
Kiwior,,,,,,Kiwior,Kiwior,Jakub Kiwior,dc3e663e,440854,10,Kiwior,DEF,Arsenal,4.4,2893237,Kiwior,DEF,4.5,36571
Tomiyasu,,,,,Tomiyasu,Tomiyasu,Tomiyasu,Takehiro Tomiyasu,b3af9be1,223723,25,Tomiyasu,DEF,Arsenal,4.5,257276,Tomiyasu,DEF,5,36104
Odegaard,,,,Odegaard,Odegaard,Odegaard,Odegaard,Martin ÿdegaard,79300479,184029,14,ÿdegaard,MID,Arsenal,8.5,201990,Odegaard,MID,9,36146
Saka,,Saka,Saka,Saka,Saka,Saka,Saka,Bukayo Saka,bc7dc64d,223340,19,Saka,MID,Arsenal,8.7,106430,Saka,MID,10,37139
Martinelli,,,Gabriel Martinelli,Gabriel Martinelli,Gabriel Martinelli,Martinelli,Martinelli,Martinelli,48a5a5d6,444145,12,Martinelli,MID,Arsenal,8,140008,Martinelli,MID,8.5,37060
Havertz,,,,Havertz,Havertz,Havertz,Havertz,Kai Havertz,fed7cb61,219847,6,Havertz,MID,Arsenal,7.3,182529,Havertz,MID,8,36322
Trossard,,,Trossard,Trossard,Trossard,Trossard,Trossard,Leandro Trossard,38ceb24a,116216,26,Trossard,MID,Arsenal,6.7,132424,Trossard,MID,7.5,34672
Vieira,,,,,,F·bio Vieira,F·bio Vieira,Fabio Vieira,6412cc03,438098,4,F·bio Vieira,MID,Arsenal,5.4,1681493,Vieira,MID,6,36676
Jorginho,,Jorginho,Jorginho,Jorginho,Jorginho,Jorginho,Jorginho,Jorginho,45db685d,85955,9,Jorginho,MID,Arsenal,5.4,88639,Jorginho,MID,5,33592
Smith Rowe,,,Smith-Rowe,Smith-Rowe,Smith-Rowe,Smith-Rowe,Smith-Rowe,Emile Smith Rowe,17695062,209289,22,Smith Rowe,MID,Arsenal,5.4,197966,Smith Rowe,MID,6,36735
Rice,Rice,Rice,Rice,Rice,Rice,Rice,Rice,Declan Rice,1c7012b8,204480,540,Rice,MID,Arsenal,5.4,32973,Rice,MID,6,36174
Partey,,,,Partey,Partey,Partey,Partey,Thomas Partey,529f49ab,167199,15,Thomas,MID,Arsenal,4.9,187806,Partey,MID,5,34133
