Name,FFS17,vaastav17,FFS18,vaastav18,FFS19,vaastav19,FFS20,vaastav20
M Aarons,,,,,Aarons (Maximillian),Maximillian_Aarons_274,Aarons (Maximillian),
R Aarons,Aarons,Rolando_Aarons,,,,Rolando_Aarons_499,Aarons,
Abraham,Abraham,Tammy_Abraham,,Tammy_Abraham_496,Abraham,Tammy_Abraham_460,Abraham,
Adam,Adam,Charlie_Adam,,,,,Adam,
Adams,,,,,Adams,Che_Adams_437,Adams,
Adarabioyo,,,,,,,Tosin Adarabioyo,
Adomah,,,,,,,Adomah,
Adrian,Adri·n,Adri·n_San Miguel del Castillo,,Adri·n_San Miguel del Castillo_399,Adri·n,Adri√°n_San Miguel del Castillo_526,Adri·n,
Afellay,Afellay,Ibrahim_Afellay,,,,,Afellay,
Afobe,Afobe,Benik_Afobe,,,,,Afobe,
Aguero,Aguero,Sergio_Ag¸ero,Aguero,Sergio_Ag¸ero_280,Aguero,Sergio_Ag√ºero_210,Aguero,
Agyei,,,,,,,Agyei,
Aina,,,,,,,Aina,
Ait-Nouri,,,,,,,Ait Nouri,
Ajayi,,,,,,,Ajayi,
Ajeti,,,,,Ajeti,Albian_Ajeti_514,Ajeti,
Ake,AkÈ,Nathan_AkÈ,AkÈ,Nathan_AkÈ_31,AkÈ,Nathan_Ak√©_59,AkÈ,
Albrighton,Albrighton,Marc_Albrighton,Albrighton,Marc_Albrighton_224,Albrighton,Marc_Albrighton_174,Albrighton,
Alderweireld,Alderweireld,Toby_Alderweireld,Alderweireld,Toby_Alderweireld_353,Alderweireld,Toby_Alderweireld_331,Alderweireld,
Alioski,,,,,,,Alioski,
Alisson,,,Alisson,Alisson_Ramses Becker_468,Alisson,Alisson_Ramses Becker_189,Alisson,
Allan,,,,,,,Allan,
Allen,Allen,Joe_Allen,,,,,Allen,
Alli,Alli,Bamidele_Alli,Alli,Bamidele_Alli_365,Alli,Bamidele_Alli_344,Alli,
Mac Allister,,,,,Alexis Mac Allister,Alexis_Mac Allister_627,Alexis Mac Allister,
Allsopp,,,,,,,Allsopp,
Almiron,,,AlmirÛn,Miguel_AlmirÛn_587,AlmirÛn,Miguel_Almir√≥n_266,AlmirÛn,
Alonso,Alonso,Marcos_Alonso,Alonso,Marcos_Alonso_115,Alonso,Marcos_Alonso_103,Alonso,
Alzate,,,,,Alzate,Steven_Alzate_537,Alzate,
Amadou,,,,,Amadou,Ibrahim_Amadou_507,Amadou,
Amartey,Amartey,Daniel_Amartey,Amartey,Daniel_Amartey_226,,Daniel_Amartey_178,Amartey,
Amat,,,,,,,Amat,
Amos,,,Amos,Luke_Amos_523,,Luke_Amos_351,Amos,
Ampadu,Ampadu,Ethan_Ampadu,,Ethan_Ampadu_130,,Ethan_Ampadu_121,Ampadu,
Amrabat,Amrabat,Nordin_Amrabat,,,,,Amrabat,
Andersen,,,,,,,Andersen,
Anderson,,,Felipe Anderson,Felipe Anderson_Pereira Gomes_465,Felipe Anderson,Felipe Anderson_Pereira Gomes_390,Felipe Anderson,
Andone,,,Andone,Florin_Andone_66,Andone,Florin_Andone_46,Andone,
Angelino,,,,,Angelino,Jos√© √Ångel_Esmor√≠s Tasende_440,Angelino,
Anguissa,,,Zambo Anguissa,AndrÈ-Frank_Zambo Anguissa_512,,,Zambo Anguissa,
